"","Date","Berri1","Boyer","Brébeuf","CSC (Côte Sainte-Catherine)","Maisonneuve_2","Maisonneuve_3","Notre-Dame","Parc","PierDup","Rachel / Hôtel de Ville","Rachel / Papineau","René-Lévesque","Saint-Antoine","Saint-Urbain","Totem_Laurier","University","Viger"
"277","04/10/2015",1962,1938,2095,798,13,845,640,1191,1070,2295,2753,805,131,988,1300,1207,147
"278","05/10/2015",4365,2575,4056,2175,12,1736,1630,3261,1013,3060,4025,1985,505,2067,2043,4075,518
"279","06/10/2015",4986,2900,4566,2224,53,1815,1724,3411,1291,3286,4601,2140,578,2179,2112,4211,527
"280","07/10/2015",4943,3021,4555,2314,49,1769,1761,3360,1184,3393,4493,1935,564,2202,2260,4206,533
"281","08/10/2015",4710,2943,4466,2126,316,1786,1656,3320,928,3355,4335,2031,514,2129,2026,4115,523
"282","09/10/2015",1538,938,1486,682,260,574,477,1311,160,1367,1872,642,191,932,1057,1421,156
"283","10/10/2015",1653,1437,1904,571,291,571,488,982,811,2043,2384,659,159,966,1204,1094,124
"284","11/10/2015",1574,1436,1733,585,162,567,492,899,685,1811,2121,644,126,787,1015,936,139
"285","12/10/2015",2592,2611,3105,1029,327,1058,1194,1405,2664,3013,3561,1518,223,1051,1437,1220,213
"286","13/10/2015",3457,1767,3065,1500,211,1286,1178,2477,557,2249,3125,1457,362,1507,1460,2965,410
"287","14/10/2015",4321,2407,3875,1909,380,1501,1417,3100,719,2895,3667,1836,530,1748,1801,3924,454
"288","15/10/2015",3583,2047,3274,1484,89,1075,1040,2530,501,2369,3169,1422,379,1670,1583,3043,394
"289","16/10/2015",3424,2031,3144,1294,266,1187,966,2406,600,2568,3271,1317,443,1598,1698,2984,331
"290","17/10/2015",963,1037,1167,370,689,326,293,699,129,1286,1493,329,59,615,853,726,87
"291","18/10/2015",1062,1057,1306,423,882,338,324,782,252,1436,1627,422,60,635,887,815,89
"292","19/10/2015",2717,1752,2555,955,166,1027,910,2119,445,1981,3045,1152,344,1295,1411,2529,352
"293","20/10/2015",3750,2280,3568,1322,61,1550,1276,2799,832,2550,3460,1561,398,1632,1755,3427,397
"294","21/10/2015",3717,2258,3465,1391,244,1273,1208,2774,709,2556,3546,1561,394,1717,1789,3198,383
"295","22/10/2015",3207,1723,2909,1093,85,1023,849,2191,468,2202,2925,1173,333,1317,1505,2677,333
"296","23/10/2015",3142,2034,3048,1129,143,1088,1340,2307,569,2343,3254,1311,364,1526,1614,2722,345
"297","24/10/2015",1491,1434,1750,594,168,556,536,1015,465,1888,2273,533,101,871,1201,1026,117
"298","25/10/2015",890,971,1009,448,110,344,342,646,174,1141,1462,327,65,528,805,725,81
"299","26/10/2015",3012,1930,2931,1369,230,1114,1074,2379,611,2141,3099,1368,402,1505,1540,2940,393
"300","27/10/2015",3301,2110,3222,1491,340,1216,1180,2737,761,2367,3381,1511,385,1626,1773,3184,422
"301","28/10/2015",1733,999,1643,830,198,653,631,1512,200,1301,1909,749,174,956,1050,1868,230
"302","29/10/2015",2249,1233,2014,1043,1203,789,765,1876,230,1671,2272,861,265,1076,1292,2170,275
"303","30/10/2015",2630,1746,2632,1212,121,991,960,2160,468,2127,2913,1133,328,1450,1638,2593,322
"304","31/10/2015",1396,1347,1557,478,30,506,490,913,418,1541,2049,486,113,867,1178,937,103
"305","01/11/2015",529,644,715,227,38,218,218,459,41,723,1111,179,43,410,611,446,50
"306","02/11/2015",3177,1975,2912,1457,47,1136,1096,2455,571,2228,3198,1364,351,1472,1434,2985,451
"307","03/11/2015",3738,2279,3378,1558,181,1285,1242,2630,785,2502,3511,1533,396,1678,1742,3316,441
"308","04/11/2015",3757,2351,3464,1704,33,1334,1296,2747,809,2482,3584,1606,399,1735,1823,3184,381
"309","05/11/2015",3774,2407,3513,1694,273,1334,1293,2820,804,2426,3590,1537,372,1772,1855,3313,375
"310","06/11/2015",2613,1477,2334,1025,177,879,853,1935,301,2130,2675,1016,271,1205,1430,2234,309
"311","07/11/2015",1879,1481,1838,595,343,606,593,1076,491,1719,2251,590,120,923,1215,1163,124
"312","08/11/2015",1240,1254,1470,514,151,452,436,787,334,1301,1920,367,79,704,989,812,95
"313","09/11/2015",2972,1855,2857,1327,44,1076,1043,2360,500,2370,3005,1226,321,1500,1376,2758,377
"314","10/11/2015",3385,2006,3018,1491,3663,1201,1164,2508,671,2435,3293,1449,336,1638,1640,3002,377
"315","11/11/2015",3044,1931,2828,1393,3603,1754,1142,2342,458,2328,3280,1210,338,1534,1527,2860,356
"316","12/11/2015",1751,930,1670,888,2048,700,675,1566,152,1345,1877,755,180,960,955,1777,198
"317","13/11/2015",1818,906,1711,873,2115,634,477,1522,150,1416,1980,719,204,978,1040,1727,258
"318","14/11/2015",979,759,978,322,1112,290,310,601,98,1061,1448,269,70,640,805,737,73
"319","15/11/2015",913,749,1028,348,1128,303,224,666,224,1094,1491,321,64,537,804,685,63
